release_date,title,genre,region,want_to_see,url,status
2025-03-21,倩女幽魂,"['爱情', '奇幻', '武侠']",['中国香港'],150765,https://movie.douban.com/subject/1297447/,Probably Released
2025-03-21,白雪公主,"['剧情', '爱情', '奇幻']","['美国', '意大利']",6925,https://movie.douban.com/subject/26908303/,Probably Released
