release_date,title,genre,region,want_to_see,url
2026-01-09,梵高：诗情画意,['纪录片'],['英国'],583,https://movie.douban.com/subject/37424848/
2026-01-09,半夜叫你别回头2,"['惊悚', '恐怖']",['中国大陆'],198,https://movie.douban.com/subject/37515166/
2026-01-10,96分钟：列车爆炸案,"['剧情', '动作', '犯罪']",['中国台湾'],3773,https://movie.douban.com/subject/34850525/
2026-01-10,不过是上班,['喜剧'],['中国大陆'],1857,https://movie.douban.com/subject/37193378/
2026-01-16,马腾你别走,"['剧情', '喜剧']",['中国大陆'],1887,https://movie.douban.com/subject/35358792/
2026-01-16,八府巡按,"['剧情', '喜剧', '古装']",['中国大陆'],437,https://movie.douban.com/subject/37657615/
2026-01-16,情缘曹雪芹,"['剧情', '爱情', '古装']",['中国大陆'],154,https://movie.douban.com/subject/37929729/
2026-01-16,盖世神功,['喜剧'],['中国大陆'],69,https://movie.douban.com/subject/37914988/
2026-01-17,我的朋友安德烈,['剧情'],['中国大陆'],10779,https://movie.douban.com/subject/35416504/
2026-01-17,时空奇旅,"['科幻', '动画']",['法国'],6028,https://movie.douban.com/subject/35346268/
2026-01-17,飞行家,"['剧情', '喜剧']",['中国大陆'],5573,https://movie.douban.com/subject/35700339/
2026-01-17,北回归线以北,['剧情'],['中国大陆'],334,https://movie.douban.com/subject/36941236/
2026-01-20,解决专家,"['喜剧', '动作', '爱情']",['中国大陆'],88,https://movie.douban.com/subject/36700974/
2026-01-23,重返寂静岭,"['悬疑', '惊悚', '恐怖']","['法国', '塞尔维亚']",17657,https://movie.douban.com/subject/34965089/
2026-01-23,极限审判,"['科幻', '悬疑', '惊悚']","['英国', '美国']",4783,https://movie.douban.com/subject/36749573/
2026-01-23,爆水管,"['喜剧', '犯罪']",['中国大陆'],1806,https://movie.douban.com/subject/37134618/
2026-01-24,翠湖,['剧情'],['中国大陆'],4354,https://movie.douban.com/subject/36909312/
2026-01-24,舒克贝塔之微缩人类,"['喜剧', '动画', '奇幻']",['中国大陆'],98,https://movie.douban.com/subject/36937755/
2026-02-14,只爱你,"['剧情', '爱情']",['中国大陆'],166,https://movie.douban.com/subject/36779597/
2026-02-17,飞驰人生3,"['剧情', '喜剧', '运动']",['中国大陆'],5358,https://movie.douban.com/subject/37311135/
2026-02-99,镖人：风起大漠,"['动作', '武侠', '古装']",['中国大陆'],14008,https://movie.douban.com/subject/36474027/
2026-02-99,熊猫计划2,"['喜剧', '动作']",['中国大陆'],1931,https://movie.douban.com/subject/37211128/
2026-02-99,熊出没·年年有熊,"['喜剧', '动画', '奇幻']",['中国大陆'],1515,https://movie.douban.com/subject/37427493/
2026-04-03,凌晨两点半3,"['惊悚', '恐怖']",['中国大陆'],145,https://movie.douban.com/subject/36990246/
2026-05-01,千金不换,"['剧情', '喜剧']",['中国大陆'],2899,https://movie.douban.com/subject/36918875/
2026-05-20,错过了，遗憾吗？,"['喜剧', '爱情']",['中国大陆'],1334,https://movie.douban.com/subject/36117834/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],89192,https://movie.douban.com/subject/36212391/
