release_date,title,genre,region,want_to_see,url
2025-06-19,醉吴歌,['剧情'],['中国大陆'],34,https://movie.douban.com/subject/37388463/
2025-06-20,好好说再见,['家庭'],['中国大陆'],2837,https://movie.douban.com/subject/36862993/
2025-06-20,最美不是下雨天,"['爱情', '奇幻']",['日本'],560,https://movie.douban.com/subject/36471673/
2025-06-20,非常交易,['喜剧'],['中国大陆'],548,https://movie.douban.com/subject/26755558/
2025-06-21,酱园弄·悬案,"['剧情', '犯罪']","['中国大陆', '中国香港']",65555,https://movie.douban.com/subject/26749938/
2025-06-21,艺术学院1994,"['剧情', '喜剧', '动画']",['中国大陆'],16957,https://movie.douban.com/subject/28510051/
2025-06-21,三个火枪手：达达尼昂,"['动作', '历史', '冒险']","['法国', '德国']",5999,https://movie.douban.com/subject/35360553/
2025-06-21,阿克达拉,"['剧情', '传记']",['中国大陆'],553,https://movie.douban.com/subject/37293933/
2025-06-21,炽热年华,['剧情'],['中国大陆'],99,https://movie.douban.com/subject/37017543/
2025-06-22,和我说早安,['剧情'],['中国大陆'],45,https://movie.douban.com/subject/37370064/
2025-06-25,风起前的蒲公英,['纪录片'],['中国大陆'],1727,https://movie.douban.com/subject/36468120/
2025-06-27,地球特派员,"['剧情', '喜剧', '科幻']",['美国'],22842,https://movie.douban.com/subject/36090458/
2025-06-27,F1：狂飙飞车,"['剧情', '动作', '运动']",['美国'],15498,https://movie.douban.com/subject/35689244/
2025-06-27,名侦探柯南：独眼的残像,"['剧情', '犯罪', '动画']",['日本'],9583,https://movie.douban.com/subject/36851291/
2025-06-27,更好的我,"['传记', '奇幻', '歌舞']","['美国', '英国']",2249,https://movie.douban.com/subject/35370668/
2025-06-28,蜡笔小新：大人王国的反击,"['动画', '喜剧']",['日本'],25815,https://movie.douban.com/subject/1958667/
2025-06-28,三个火枪手：米莱迪,"['动作', '历史', '冒险']","['法国', '德国']",2207,https://movie.douban.com/subject/35360551/
2025-06-28,人生会议,"['剧情', '喜剧', '奇幻']",['中国大陆'],1315,https://movie.douban.com/subject/36217765/
2025-06-28,夏季成人礼,['剧情'],['中国大陆'],42,https://movie.douban.com/subject/36245633/
2025-07-02,侏罗纪世界：重生,"['动作', '科幻', '惊悚']",['美国'],16600,https://movie.douban.com/subject/36743767/
2025-07-05,恶意,"['剧情', '悬疑']",['中国大陆'],3307,https://movie.douban.com/subject/36809947/
2025-07-05,无名之辈：否极泰来,"['喜剧', '犯罪']","['中国大陆', '中国香港']",1427,https://movie.douban.com/subject/37155318/
2025-07-05,熊孩子·探险熊兵,"['儿童', '动画', '冒险']",['中国大陆'],521,https://movie.douban.com/subject/36319998/
2025-07-10,天宝,"['剧情', '传记', '历史']",['中国大陆'],106,https://movie.douban.com/subject/35613194/
2025-07-11,超人,"['动作', '科幻', '奇幻']",['美国'],14833,https://movie.douban.com/subject/36188176/
2025-07-11,八戒之天蓬下界,"['动画', '奇幻']",['中国大陆'],1936,https://movie.douban.com/subject/35623555/
2025-07-12,聊斋：兰若寺,"['剧情', '喜剧', '动画']",['中国大陆'],7051,https://movie.douban.com/subject/36289419/
2025-07-15,你行！你上！,"['剧情', '喜剧', '音乐']",['中国大陆'],27189,https://movie.douban.com/subject/36767956/
2025-07-17,戏台,"['剧情', '喜剧']","['中国大陆', '中国香港']",6280,https://movie.douban.com/subject/35483395/
2025-07-18,花漾少女杀人事件,"['剧情', '悬疑']",['中国大陆'],9984,https://movie.douban.com/subject/35183324/
2025-07-18,罗小黑战记2,"['动画', '奇幻', '冒险']",['中国大陆'],4274,https://movie.douban.com/subject/36448279/
2025-07-19,疯狂海盗团2,"['动画', '奇幻', '冒险']",['挪威'],61,https://movie.douban.com/subject/37199520/
2025-07-25,长安的荔枝,"['剧情', '喜剧', '古装']",['中国大陆'],22405,https://movie.douban.com/subject/36185502/
2025-07-25,奇幻西游：新世界,"['喜剧', '动画', '冒险']",['中国台湾'],1177,https://movie.douban.com/subject/36588177/
2025-07-31,731,"['剧情', '战争']",['中国大陆'],42453,https://movie.douban.com/subject/27605659/
2025-08-02,浪浪山小妖怪,"['剧情', '喜剧', '动画']",['中国大陆'],7896,https://movie.douban.com/subject/36438475/
2025-08-08,东极岛,"['剧情', '历史', '战争']",['中国大陆'],10558,https://movie.douban.com/subject/26660874/
2025-08-08,奇遇,['喜剧'],['中国大陆'],547,https://movie.douban.com/subject/36522427/
2025-08-15,坪石先生,"['剧情', '传记']",['中国大陆'],380,https://movie.douban.com/subject/36738997/
2025-08-15,生还,[''],['中国大陆'],130,https://movie.douban.com/subject/37296895/
2025-08-16,捕风追影,"['剧情', '动作', '犯罪']","['中国大陆', '中国香港']",2579,https://movie.douban.com/subject/36600459/
2025-08-28,无名指,['剧情'],"['中国香港', '中国大陆']",402,https://movie.douban.com/subject/36208097/
2025-08-29,有朵云像你,"['剧情', '爱情', '奇幻']",['中国大陆'],1179,https://movie.douban.com/subject/36638072/
2025-10-01,熊猫计划2,"['喜剧', '动作']",['中国大陆'],1005,https://movie.douban.com/subject/37211128/
2025-12-31,无名之辈：意义非凡,"['喜剧', '犯罪']",['中国大陆'],17074,https://movie.douban.com/subject/36311677/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],82528,https://movie.douban.com/subject/36212391/
