release_date,title,genre,region,want_to_see,url,status
2025-03-22,我会好好的,['剧情'],"['中国大陆', '中国香港']",3289,https://movie.douban.com/subject/36166566/,Probably Released
2025-03-22,怒水西流,"['犯罪', '悬疑']",['中国大陆'],3139,https://movie.douban.com/subject/30290253/,Probably Released
