release_date,title,genre,region,want_to_see,url
2025-06-07,功夫梦：融合之道,"['剧情', '动作', '运动']",['美国'],3844,https://movie.douban.com/subject/11600089/
2025-06-13,新·驯龙高手,"['剧情', '喜剧', '动作']",['美国'],12639,https://movie.douban.com/subject/36247731/
2025-06-13,恋曲尘封,"['剧情', '爱情']",['中国大陆'],1265,https://movie.douban.com/subject/25917971/
2025-06-14,星月童话,"['剧情', '爱情', '惊悚']","['中国香港', '日本']",58487,https://movie.douban.com/subject/1295284/
2025-06-14,分手清单,"['喜剧', '爱情']",['中国大陆'],1237,https://movie.douban.com/subject/36622930/
2025-06-14,破局者迷,"['剧情', '悬疑']",['中国大陆'],215,https://movie.douban.com/subject/37361513/
2025-06-20,好好说再见,['家庭'],['中国大陆'],2614,https://movie.douban.com/subject/36862993/
2025-06-21,酱园弄·悬案,"['剧情', '犯罪']","['中国大陆', '中国香港']",55300,https://movie.douban.com/subject/26749938/
2025-06-21,三个火枪手：达达尼昂,"['动作', '历史', '冒险']","['法国', '德国']",5721,https://movie.douban.com/subject/35360553/
2025-06-21,阿克达拉,"['剧情', '传记']",['中国大陆'],349,https://movie.douban.com/subject/37293933/
2025-06-21,炽热年华,['剧情'],['中国大陆'],63,https://movie.douban.com/subject/37017543/
2025-06-27,地球特派员,"['剧情', '喜剧', '科幻']",['美国'],20777,https://movie.douban.com/subject/36090458/
2025-06-27,F1：狂飙飞车,"['剧情', '动作', '运动']",['美国'],12271,https://movie.douban.com/subject/35689244/
2025-06-28,阳光俱乐部,"['剧情', '喜剧']",['中国大陆'],3686,https://movie.douban.com/subject/36754198/
2025-06-28,三个火枪手：米莱迪,"['动作', '历史', '冒险']","['法国', '德国']",2087,https://movie.douban.com/subject/35360551/
2025-06-28,人生会议,"['剧情', '喜剧', '奇幻']",['中国大陆'],1054,https://movie.douban.com/subject/36217765/
2025-07-02,侏罗纪世界：重生,"['动作', '科幻', '惊悚']",['美国'],13679,https://movie.douban.com/subject/36743767/
2025-07-05,恶意,"['剧情', '悬疑']",['中国大陆'],2484,https://movie.douban.com/subject/36809947/
2025-07-05,熊孩子·探险熊兵,"['儿童', '动画', '冒险']",['中国大陆'],513,https://movie.douban.com/subject/36319998/
2025-07-10,天宝,"['剧情', '传记', '历史']",['中国大陆'],76,https://movie.douban.com/subject/35613194/
2025-07-11,超人,"['动作', '科幻', '奇幻']",['美国'],13191,https://movie.douban.com/subject/36188176/
2025-07-11,八戒之天蓬下界,"['动画', '奇幻']",['中国大陆'],1917,https://movie.douban.com/subject/35623555/
2025-07-12,聊斋：兰若寺,"['剧情', '喜剧', '动画']",['中国大陆'],6178,https://movie.douban.com/subject/36289419/
2025-07-15,你行你上,"['剧情', '喜剧', '音乐']",['中国大陆'],25426,https://movie.douban.com/subject/36767956/
2025-07-25,长安的荔枝,"['剧情', '喜剧', '古装']",['中国大陆'],16498,https://movie.douban.com/subject/36185502/
2025-07-25,奇幻西游：新世界,"['喜剧', '动画', '冒险']",['中国台湾'],1151,https://movie.douban.com/subject/36588177/
2025-07-31,731,"['剧情', '战争']",['中国大陆'],41370,https://movie.douban.com/subject/27605659/
2025-08-02,浪浪山小妖怪,"['剧情', '喜剧', '动画']",['中国大陆'],7174,https://movie.douban.com/subject/36438475/
2025-08-08,奇遇,"['剧情', '喜剧']",['中国大陆'],454,https://movie.douban.com/subject/36522427/
2025-08-15,坪石先生,"['剧情', '传记']",['中国大陆'],273,https://movie.douban.com/subject/36738997/
2025-08-15,生还,[''],['中国大陆'],99,https://movie.douban.com/subject/37296895/
2025-08-29,有朵云像你,"['剧情', '爱情', '奇幻']",['中国大陆'],1123,https://movie.douban.com/subject/36638072/
2025-10-01,熊猫计划2,"['喜剧', '动作']",['中国大陆'],966,https://movie.douban.com/subject/37211128/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],82178,https://movie.douban.com/subject/36212391/
