release_date,title,genre,region,want_to_see,url
2026-03-07,洛杉矶劫案,"['剧情', '动作', '犯罪']","['美国', '英国']",8176,https://movie.douban.com/subject/36901008/
2026-03-08,非穷尽列举,['剧情'],['英国'],38017,https://movie.douban.com/subject/37293378/
2026-03-10,熊猫奇遇记,['纪录片'],"['中国大陆', '英国']",82,https://movie.douban.com/subject/37215403/
2026-03-13,呼啸山庄,"['剧情', '爱情']","['英国', '美国']",27796,https://movie.douban.com/subject/36963690/
2026-03-13,神头岭1938,"['剧情', '历史', '战争']",['中国大陆'],156,https://movie.douban.com/subject/37317101/
2026-03-14,奇迹梦之队,"['喜剧', '动画', '冒险']",['美国'],3385,https://movie.douban.com/subject/36910970/
2026-03-14,拼桌,"['喜剧', '爱情']",['中国大陆'],2479,https://movie.douban.com/subject/36539452/
2026-03-14,上学路上之山海无阻,['纪录片'],['中国大陆'],531,https://movie.douban.com/subject/36650727/
2026-03-20,天才枪手,"['剧情', '犯罪', '悬疑']",['泰国'],164591,https://movie.douban.com/subject/27024903/
2026-03-20,挽救计划,"['动作', '科幻', '冒险']",['美国'],25724,https://movie.douban.com/subject/35010610/
2026-03-20,至尊马蒂,"['剧情', '运动']","['芬兰', '美国']",23203,https://movie.douban.com/subject/36691620/
2026-03-20,河狸变身计划,"['喜剧', '科幻', '动画']",['美国'],13697,https://movie.douban.com/subject/36999793/
2026-03-20,你好，爱美丽,"['动画', '家庭']","['法国', '比利时']",10759,https://movie.douban.com/subject/36394612/
2026-03-20,时间旅馆,"['剧情', '爱情']",['中国大陆'],1292,https://movie.douban.com/subject/35700764/
2026-04-03,超级马力欧银河大电影,"['喜剧', '动画', '奇幻']","['日本', '美国']",4532,https://movie.douban.com/subject/36806351/
2026-04-03,我的妈耶,"['剧情', '喜剧', '家庭']",['中国大陆'],2371,https://movie.douban.com/subject/36217763/
2026-04-03,北回归线以北,['剧情'],['中国大陆'],675,https://movie.douban.com/subject/36941236/
2026-04-03,凌晨两点半3,"['惊悚', '恐怖']",['中国大陆'],219,https://movie.douban.com/subject/36990246/
2026-04-04,天才游戏,"['犯罪', '悬疑']",['中国大陆'],15100,https://movie.douban.com/subject/35159709/
2026-04-24,登月(第一部),['纪录片'],['中国大陆'],74,https://movie.douban.com/subject/38362649/
2026-05-01,千金不换,"['剧情', '喜剧']",['中国大陆'],3358,https://movie.douban.com/subject/36918875/
2026-05-20,为我的心动买单,"['喜剧', '爱情']",['中国大陆'],1873,https://movie.douban.com/subject/37350266/
2026-05-20,错过了，遗憾吗？,"['喜剧', '爱情']",['中国大陆'],1787,https://movie.douban.com/subject/36117834/
2026-07-99,大唐妖探,"['喜剧', '动画', '悬疑']",['中国大陆'],756,https://movie.douban.com/subject/35464353/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],92433,https://movie.douban.com/subject/36212391/
2027-02-99,守密者,['剧情'],['中国大陆'],54,https://movie.douban.com/subject/37497264/
